序号  企业名单    代号  网址
1   渤海租赁    sz000415    http://finance.sina.com.cn/realstock/company/sz000415/nc.shtml
2   彩虹精化    sz002256    http://finance.sina.com.cn/realstock/company/sz002256/nc.shtml
3   欣旺达 sz300207    http://finance.sina.com.cn/realstock/company/sz300207/nc.shtml
4   爱尔眼科    sz300015    http://finance.sina.com.cn/realstock/company/sz300015/nc.shtml
5   大湖股份    sh600257    http://finance.sina.com.cn/realstock/company/sh600257/nc.shtml
6   怡亚通 sz002183    http://finance.sina.com.cn/realstock/company/sz002183/nc.shtml
7   凯撒股份    sz002425    http://finance.sina.com.cn/realstock/company/sz002425/nc.shtml
8   万泽股份    sz000534    http://finance.sina.com.cn/realstock/company/sz000534/nc.shtml
9   欧浦钢网    sz002711    http://finance.sina.com.cn/realstock/company/sz002711/nc.shtml
10  阳普医疗    sz300030    http://finance.sina.com.cn/realstock/company/sz300030/nc.shtml
11  沃尔核材    sz002130    http://finance.sina.com.cn/realstock/company/sz002130/nc.shtml
12  新亚制程    sz002388    http://finance.sina.com.cn/realstock/company/sz002388/nc.shtml
13  迪威视讯    sz300167    http://finance.sina.com.cn/realstock/company/sz300167/nc.shtml
14  用友软件    sh600588    http://finance.sina.com.cn/realstock/company/sh600588/nc.shtml
15  尚荣医疗    sz002551    http://finance.sina.com.cn/realstock/company/sz002551/nc.shtml
16  飞马国际    sz002210    http://finance.sina.com.cn/realstock/company/sz002210/nc.shtml
17  大洋电机    sz002249    http://finance.sina.com.cn/realstock/company/sz002249/nc.shtml
18  海联讯 sz300277    http://finance.sina.com.cn/realstock/company/sz300277/nc.shtml
19  盛运股份    sz300090    http://finance.sina.com.cn/realstock/company/sz300090/nc.shtml
20  瑞和股份    sz002620    http://finance.sina.com.cn/realstock/company/sz002620/nc.shtml
21  中集集团    sz000039    http://finance.sina.com.cn/realstock/company/sz000039/nc.shtml
22  中国天楹    sz000035    http://finance.sina.com.cn/realstock/company/sz000035/nc.shtml
23  康美药业    sh600518    http://finance.sina.com.cn/realstock/company/sh600518/nc.shtml
24  精达股份    sh600577    http://finance.sina.com.cn/realstock/company/sh600577/nc.shtml
25  爱施德 sz002416    http://finance.sina.com.cn/realstock/company/sz002416/nc.shtml
26  海能达 sz002583    http://finance.sina.com.cn/realstock/company/sz002583/nc.shtml
27  猛狮科技    sz002684    http://finance.sina.com.cn/realstock/company/sz002684/nc.shtml
28  长信科技    sz300088    http://finance.sina.com.cn/realstock/company/sz300088/nc.shtml
29  山鹰纸业    sh600567    http://finance.sina.com.cn/realstock/company/sh600567/nc.shtml
30  百圆裤业    sz002640    http://finance.sina.com.cn/realstock/company/sz002640/nc.shtml
31  金证股份    sh600446    http://finance.sina.com.cn/realstock/company/sh600446/nc.shtml
32  宜华木业    sh600978    http://finance.sina.com.cn/realstock/company/sh600978/nc.shtml
33  多伦股份    sh600696    http://finance.sina.com.cn/realstock/company/sh600696/nc.shtml
34  洪涛股份    sz002325    http://finance.sina.com.cn/realstock/company/sz002325/nc.shtml
35  英威腾 sz002334    http://finance.sina.com.cn/realstock/company/sz002334/nc.shtml
36  林州重机    sz002535    http://finance.sina.com.cn/realstock/company/sz002535/nc.shtml
37  秦川机床    sz000837    http://finance.sina.com.cn/realstock/company/sz000837/nc.shtml
38  长亮科技    sz300348    http://finance.sina.com.cn/realstock/company/sz300348/nc.shtml
39  长方照明    sz300301    http://finance.sina.com.cn/realstock/company/sz300301/nc.shtml
