序号	  股票简称   股票代号
0         渤海租赁  000415
1         彩虹精化  002256
2          欣旺达  300207
3         爱尔眼科  300015
4         大湖股份  600257
5          怡亚通  002183
6         凯撒股份  002425
7         万泽股份  000534
8         欧浦钢网  002711
9         阳普医疗  300030
10        沃尔核材  002130
11        新亚制程  002388
12        迪威视讯  300167
13  用友软件(用友网络)  600588
14        尚荣医疗  002551
15        飞马国际  002210
16        大洋电机  002249
17         海联讯  300277
18  盛运股份(盛运环保)  300090
19        瑞和股份  002620
20        中集集团  000039
21        中国天楹  000035
22        康美药业  600518
23        精达股份  600577
24         爱施德  002416
25         海能达  002583
26        猛狮科技  002684
27        长信科技  300088
28        山鹰纸业  600567
29   百圆裤业(跨境通)  002640
30        金证股份  600446
31        宜华木业  600978
32        多伦股份  600696
33        洪涛股份  002325
34         英威腾  002334
35        林州重机  002535
36        秦川机床  000837
37        长亮科技  300348
38        长方照明  300301
